 ,Area,X,Y,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,1334.987,646.322,399.555,56.482,3742,420,76.68,33.767
2,1004.846,596.628,404.008,43.884,3434,120,117.665,30.579
3,982.595,187.378,405.695,51.241,951,176,148.806,26.303
4,769.195,86.672,402.723,45.971,407,159,138.473,22.983
5,749.054,242.493,403.274,40.383,1291,245,4.865,24.87
6,898.308,29.375,402.256,49.9,19,230,168.921,26.347
7,673.034,142.319,399.834,35.331,732,317,10.33,24.827
8,598.041,548.661,403.107,37.98,3092,250,4.914,20.718
9,481.271,391.737,401.118,34.385,2182,255,172.273,19.038
10,613.96,351.72,398.861,38.544,1932,271,1.782,20.416
11,508.829,504.064,399.355,33.188,2856,225,155.947,19.449
12,465.997,300.876,396.864,31.559,1659,265,173.145,19.377
13,1071.719,551.999,353.825,53.321,3072,572,8.494,27.303
14,1248.589,186.885,350.348,53.35,947,636,16.981,31.018
15,522.989,444.783,348.097,37.385,2524,647,49.086,18.668
16,437.412,41.271,355.269,35.891,132,523,170.942,15.629
17,541.664,142.649,350.373,35.102,726,595,22.061,20.414
18,507.158,645.592,345.296,32.977,3743,678,70.907,21.084
19,377.488,294.616,351.837,29.669,1641,504,150.624,16.63
20,656.91,501.002,349.379,39.682,2819,509,158.749,21.594
21,374.146,342.022,350.963,29.51,1913,518,161.039,17.075
22,395.049,243.517,347.502,29.859,1330,606,22.595,17.567
23,241.046,394.342,350.451,23.308,2229,569,12.301,13.683
24,367.461,604.594,343.011,31.87,3436,616,12.095,15.819
25,77.368,91.997,344.643,13.969,527,560,101.31,7.254
26,294.843,239.522,302.436,26.595,1387,915,86.309,14.706
27,855.768,292.29,302.028,46.174,1561,821,175.96,25.239
28,352.48,648.112,298.062,26.172,3773,788,110.688,17.501
29,244.535,87.372,299.923,24.394,483,927,66.854,13.247
30,278.132,190.981,301.759,26.553,1043,806,147.642,14.052
31,257.845,548.571,301.625,24.588,3151,904,36.79,14.095
32,274.086,143.174,296.272,24.071,787,924,50.194,14.858
33,170.391,393.137,298.308,21.331,2247,913,42.397,10.277
34,218.003,596.766,299.714,22.226,3436,910,37.488,12.955
35,201.614,496.189,295.789,24.552,2832,921,33.912,11.251
36,383.527,36.703,291.164,30.036,127,954,28.61,17.273
37,213.4,448.537,294.556,21.287,2571,844,140.548,14.899
38,26.561,343.868,299.771,7.826,1987,864,10.081,4.632
39,531.462,645.299,249.764,33.815,3732,1234,66.42,21.512
40,593.233,551.047,249.46,40.822,3106,1202,27.747,18.885
